,avg_pace,meters,name,pace,position,spm,time
0.0,350.0,4.0,ВШЭ СПБ - 3,128.0,5.0,0.0,201.0
1.0,179.0,9.0,ВШЭ СПБ - 3,109.0,6.0,51.0,303.0
2.0,144.0,14.0,ВШЭ СПБ - 3,98.0,7.0,53.0,402.0
3.0,127.0,20.0,ВШЭ СПБ - 3,89.0,7.0,56.0,503.0
4.0,117.0,26.0,ВШЭ СПБ - 3,89.0,7.0,56.0,603.0
5.0,111.0,32.0,ВШЭ СПБ - 3,87.0,7.0,53.0,703.0
6.0,107.0,37.0,ВШЭ СПБ - 3,86.0,7.0,56.0,803.0
7.0,104.0,43.0,ВШЭ СПБ - 3,87.0,7.0,55.0,903.0
8.0,104.0,49.0,ВШЭ СПБ - 3,87.0,8.0,55.0,1002.0
9.0,102.0,55.0,ВШЭ СПБ - 3,87.0,8.0,54.0,1102.0
10.0,100.0,61.0,ВШЭ СПБ - 3,87.0,8.0,54.0,1203.0
11.0,99.0,66.0,ВШЭ СПБ - 3,86.0,8.0,59.0,1303.0
12.0,98.0,72.0,ВШЭ СПБ - 3,88.0,8.0,50.0,1403.0
13.0,97.0,78.0,ВШЭ СПБ - 3,88.0,8.0,52.0,1503.0
14.0,96.0,84.0,ВШЭ СПБ - 3,88.0,8.0,52.0,1603.0
15.0,95.0,89.0,ВШЭ СПБ - 3,88.0,8.0,52.0,1703.0
16.0,95.0,95.0,ВШЭ СПБ - 3,87.0,8.0,54.0,1803.0
17.0,95.0,101.0,ВШЭ СПБ - 3,86.0,8.0,52.0,1902.0
18.0,94.0,107.0,ВШЭ СПБ - 3,86.0,8.0,51.0,2002.0
19.0,93.0,113.0,ВШЭ СПБ - 3,86.0,8.0,50.0,2102.0
20.0,93.0,119.0,ВШЭ СПБ - 3,86.0,8.0,52.0,2203.0
21.0,93.0,124.0,ВШЭ СПБ - 3,86.0,8.0,52.0,2302.0
22.0,92.0,130.0,ВШЭ СПБ - 3,86.0,8.0,51.0,2402.0
