,index,count,datetime_race,date_competition,competition,type,stroke,speed
895,"(45, 5.7)",1,2019-08-26,2019-09-01,2019 World Rowing Championships,Встречный ветер,45,5.7
1113,"(45, 5.7)",1,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,45,5.7
746,"(46, 4.8)",1,2019-08-25,2019-09-01,2019 World Rowing Championships,Встречный ветер,46,4.8
873,"(46, 4.9)",2,2019-08-26,2019-09-01,2019 World Rowing Championships,Встречный ветер,46,4.9
474,"(46, 5.0)",1,2019-07-12,2019-07-14,2019 World Rowing Cup III,Встречный ветер,46,5.0
709,"(46, 5.0)",1,2019-08-25,2019-09-01,2019 World Rowing Championships,Встречный ветер,46,5.0
1147,"(46, 5.0)",1,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,46,5.0
85,"(46, 5.1)",1,2019-05-10,2019-05-12,2019 World Rowing Cup I,Попутный ветер,46,5.1
733,"(46, 5.1)",1,2019-08-25,2019-09-01,2019 World Rowing Championships,Встречный ветер,46,5.1
848,"(46, 5.1)",3,2019-08-26,2019-09-01,2019 World Rowing Championships,Встречный ветер,46,5.1
1131,"(46, 5.1)",1,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,46,5.1
1393,"(46, 5.1)",1,2019-09-01,2019-09-01,2019 World Rowing Championships,Без ветра,46,5.1
117,"(46, 5.2)",1,2019-05-10,2019-05-12,2019 World Rowing Cup I,Попутный ветер,46,5.2
1110,"(46, 5.2)",1,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,46,5.2
1401,"(46, 5.2)",1,2019-09-01,2019-09-01,2019 World Rowing Championships,Без ветра,46,5.2
125,"(46, 5.3)",1,2019-05-10,2019-05-12,2019 World Rowing Cup I,Попутный ветер,46,5.3
670,"(46, 5.3)",2,2019-08-25,2019-09-01,2019 World Rowing Championships,Встречный ветер,46,5.3
1081,"(46, 5.3)",2,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,46,5.3
1338,"(46, 5.3)",3,2019-09-01,2019-09-01,2019 World Rowing Championships,Без ветра,46,5.3
256,"(46, 5.4)",1,2019-08-29,2019-09-01,2019 World Rowing Championships,Попутный ветер,46,5.4
683,"(46, 5.4)",1,2019-08-25,2019-09-01,2019 World Rowing Championships,Встречный ветер,46,5.4
910,"(46, 5.4)",1,2019-08-26,2019-09-01,2019 World Rowing Championships,Встречный ветер,46,5.4
1108,"(46, 5.4)",1,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,46,5.4
1227,"(46, 5.4)",2,2019-08-30,2019-09-01,2019 World Rowing Championships,Без ветра,46,5.4
1350,"(46, 5.4)",2,2019-09-01,2019-09-01,2019 World Rowing Championships,Без ветра,46,5.4
613,"(46, 5.5)",4,2019-08-25,2019-09-01,2019 World Rowing Championships,Встречный ветер,46,5.5
896,"(46, 5.5)",1,2019-08-26,2019-09-01,2019 World Rowing Championships,Встречный ветер,46,5.5
1086,"(46, 5.5)",2,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,46,5.5
1269,"(46, 5.5)",1,2019-08-30,2019-09-01,2019 World Rowing Championships,Без ветра,46,5.5
1387,"(46, 5.5)",1,2019-09-01,2019-09-01,2019 World Rowing Championships,Без ветра,46,5.5
278,"(46, 5.6)",1,2019-08-29,2019-09-01,2019 World Rowing Championships,Попутный ветер,46,5.6
663,"(46, 5.6)",2,2019-08-25,2019-09-01,2019 World Rowing Championships,Встречный ветер,46,5.6
888,"(46, 5.6)",1,2019-08-26,2019-09-01,2019 World Rowing Championships,Встречный ветер,46,5.6
1063,"(46, 5.6)",2,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,46,5.6
1234,"(46, 5.6)",1,2019-08-30,2019-09-01,2019 World Rowing Championships,Без ветра,46,5.6
1374,"(46, 5.6)",1,2019-09-01,2019-09-01,2019 World Rowing Championships,Без ветра,46,5.6
285,"(46, 5.7)",1,2019-08-29,2019-09-01,2019 World Rowing Championships,Попутный ветер,46,5.7
694,"(46, 5.7)",1,2019-08-25,2019-09-01,2019 World Rowing Championships,Встречный ветер,46,5.7
1150,"(46, 5.7)",1,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,46,5.7
1161,"(47, 4.8)",1,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,47,4.8
261,"(47, 5.0)",1,2019-08-29,2019-09-01,2019 World Rowing Championships,Попутный ветер,47,5.0
1159,"(47, 5.0)",1,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,47,5.0
1270,"(47, 5.0)",1,2019-08-30,2019-09-01,2019 World Rowing Championships,Без ветра,47,5.0
282,"(47, 5.1)",1,2019-08-29,2019-09-01,2019 World Rowing Championships,Попутный ветер,47,5.1
1394,"(47, 5.1)",1,2019-09-01,2019-09-01,2019 World Rowing Championships,Без ветра,47,5.1
304,"(47, 5.2)",1,2019-08-29,2019-09-01,2019 World Rowing Championships,Попутный ветер,47,5.2
748,"(47, 5.2)",1,2019-08-25,2019-09-01,2019 World Rowing Championships,Встречный ветер,47,5.2
500,"(47, 5.3)",1,2019-07-12,2019-07-14,2019 World Rowing Cup III,Встречный ветер,47,5.3
920,"(47, 5.3)",1,2019-08-26,2019-09-01,2019 World Rowing Championships,Встречный ветер,47,5.3
677,"(47, 5.4)",2,2019-08-25,2019-09-01,2019 World Rowing Championships,Встречный ветер,47,5.4
1069,"(47, 5.4)",2,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,47,5.4
1399,"(47, 5.4)",1,2019-09-01,2019-09-01,2019 World Rowing Championships,Без ветра,47,5.4
242,"(47, 5.5)",2,2019-08-29,2019-09-01,2019 World Rowing Championships,Попутный ветер,47,5.5
704,"(47, 5.5)",1,2019-08-25,2019-09-01,2019 World Rowing Championships,Встречный ветер,47,5.5
851,"(47, 5.5)",3,2019-08-26,2019-09-01,2019 World Rowing Championships,Встречный ветер,47,5.5
1066,"(47, 5.5)",2,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,47,5.5
1250,"(47, 5.5)",1,2019-08-30,2019-09-01,2019 World Rowing Championships,Без ветра,47,5.5
1367,"(47, 5.5)",2,2019-09-01,2019-09-01,2019 World Rowing Championships,Без ветра,47,5.5
302,"(47, 5.6)",1,2019-08-29,2019-09-01,2019 World Rowing Championships,Попутный ветер,47,5.6
727,"(47, 5.6)",1,2019-08-25,2019-09-01,2019 World Rowing Championships,Встречный ветер,47,5.6
1046,"(47, 5.6)",3,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,47,5.6
1243,"(47, 5.6)",1,2019-08-30,2019-09-01,2019 World Rowing Championships,Без ветра,47,5.6
1349,"(47, 5.6)",2,2019-09-01,2019-09-01,2019 World Rowing Championships,Без ветра,47,5.6
687,"(47, 5.7)",1,2019-08-25,2019-09-01,2019 World Rowing Championships,Встречный ветер,47,5.7
1265,"(47, 5.7)",1,2019-08-30,2019-09-01,2019 World Rowing Championships,Без ветра,47,5.7
688,"(47, 5.8)",1,2019-08-25,2019-09-01,2019 World Rowing Championships,Встречный ветер,47,5.8
431,"(48, 5.0)",1,2019-07-12,2019-07-14,2019 World Rowing Cup III,Встречный ветер,48,5.0
743,"(48, 5.2)",1,2019-08-25,2019-09-01,2019 World Rowing Championships,Встречный ветер,48,5.2
1261,"(48, 5.2)",1,2019-08-30,2019-09-01,2019 World Rowing Championships,Без ветра,48,5.2
220,"(48, 5.3)",3,2019-08-29,2019-09-01,2019 World Rowing Championships,Попутный ветер,48,5.3
945,"(48, 5.3)",1,2019-08-26,2019-09-01,2019 World Rowing Championships,Встречный ветер,48,5.3
269,"(48, 5.4)",1,2019-08-29,2019-09-01,2019 World Rowing Championships,Попутный ветер,48,5.4
856,"(48, 5.4)",2,2019-08-26,2019-09-01,2019 World Rowing Championships,Встречный ветер,48,5.4
1148,"(48, 5.4)",1,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,48,5.4
236,"(48, 5.5)",2,2019-08-29,2019-09-01,2019 World Rowing Championships,Попутный ветер,48,5.5
684,"(48, 5.5)",1,2019-08-25,2019-09-01,2019 World Rowing Championships,Встречный ветер,48,5.5
936,"(48, 5.5)",1,2019-08-26,2019-09-01,2019 World Rowing Championships,Встречный ветер,48,5.5
1403,"(48, 5.5)",1,2019-09-01,2019-09-01,2019 World Rowing Championships,Без ветра,48,5.5
283,"(48, 5.6)",1,2019-08-29,2019-09-01,2019 World Rowing Championships,Попутный ветер,48,5.6
682,"(48, 5.6)",2,2019-08-25,2019-09-01,2019 World Rowing Championships,Встречный ветер,48,5.6
869,"(48, 5.6)",2,2019-08-26,2019-09-01,2019 World Rowing Championships,Встречный ветер,48,5.6
1082,"(48, 5.6)",2,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,48,5.6
296,"(48, 5.7)",1,2019-08-29,2019-09-01,2019 World Rowing Championships,Попутный ветер,48,5.7
1053,"(48, 5.7)",3,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,48,5.7
1287,"(48, 5.7)",1,2019-08-30,2019-09-01,2019 World Rowing Championships,Без ветра,48,5.7
665,"(48, 5.8)",2,2019-08-25,2019-09-01,2019 World Rowing Championships,Встречный ветер,48,5.8
1152,"(48, 5.8)",1,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,48,5.8
886,"(49, 5.1)",1,2019-08-26,2019-09-01,2019 World Rowing Championships,Встречный ветер,49,5.1
1109,"(49, 5.1)",1,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,49,5.1
942,"(49, 5.2)",1,2019-08-26,2019-09-01,2019 World Rowing Championships,Встречный ветер,49,5.2
933,"(49, 5.3)",1,2019-08-26,2019-09-01,2019 World Rowing Championships,Встречный ветер,49,5.3
1409,"(49, 5.3)",1,2019-09-01,2019-09-01,2019 World Rowing Championships,Без ветра,49,5.3
252,"(49, 5.5)",1,2019-08-29,2019-09-01,2019 World Rowing Championships,Попутный ветер,49,5.5
702,"(49, 5.5)",1,2019-08-25,2019-09-01,2019 World Rowing Championships,Встречный ветер,49,5.5
1165,"(49, 5.6)",1,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,49,5.6
1398,"(49, 5.6)",1,2019-09-01,2019-09-01,2019 World Rowing Championships,Без ветра,49,5.6
719,"(49, 5.7)",1,2019-08-25,2019-09-01,2019 World Rowing Championships,Встречный ветер,49,5.7
889,"(49, 5.7)",1,2019-08-26,2019-09-01,2019 World Rowing Championships,Встречный ветер,49,5.7
1071,"(49, 5.7)",2,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,49,5.7
1375,"(49, 5.7)",1,2019-09-01,2019-09-01,2019 World Rowing Championships,Без ветра,49,5.7
1123,"(50, 5.1)",1,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,50,5.1
1154,"(50, 5.2)",1,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,50,5.2
1396,"(50, 5.2)",1,2019-09-01,2019-09-01,2019 World Rowing Championships,Без ветра,50,5.2
884,"(50, 5.3)",1,2019-08-26,2019-09-01,2019 World Rowing Championships,Встречный ветер,50,5.3
1391,"(50, 5.3)",1,2019-09-01,2019-09-01,2019 World Rowing Championships,Без ветра,50,5.3
260,"(50, 5.4)",1,2019-08-29,2019-09-01,2019 World Rowing Championships,Попутный ветер,50,5.4
918,"(50, 5.4)",1,2019-08-26,2019-09-01,2019 World Rowing Championships,Встречный ветер,50,5.4
1402,"(50, 5.4)",1,2019-09-01,2019-09-01,2019 World Rowing Championships,Без ветра,50,5.4
744,"(50, 5.5)",1,2019-08-25,2019-09-01,2019 World Rowing Championships,Встречный ветер,50,5.5
1368,"(50, 5.5)",1,2019-09-01,2019-09-01,2019 World Rowing Championships,Без ветра,50,5.5
276,"(50, 5.6)",1,2019-08-29,2019-09-01,2019 World Rowing Championships,Попутный ветер,50,5.6
667,"(50, 5.6)",2,2019-08-25,2019-09-01,2019 World Rowing Championships,Встречный ветер,50,5.6
1119,"(50, 5.6)",1,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,50,5.6
1271,"(50, 5.6)",1,2019-08-30,2019-09-01,2019 World Rowing Championships,Без ветра,50,5.6
1407,"(50, 5.6)",1,2019-09-01,2019-09-01,2019 World Rowing Championships,Без ветра,50,5.6
696,"(50, 5.7)",1,2019-08-25,2019-09-01,2019 World Rowing Championships,Встречный ветер,50,5.7
1266,"(51, 5.3)",1,2019-08-30,2019-09-01,2019 World Rowing Championships,Без ветра,51,5.3
722,"(51, 5.5)",1,2019-08-25,2019-09-01,2019 World Rowing Championships,Встречный ветер,51,5.5
254,"(51, 5.6)",1,2019-08-29,2019-09-01,2019 World Rowing Championships,Попутный ветер,51,5.6
934,"(51, 5.6)",1,2019-08-26,2019-09-01,2019 World Rowing Championships,Встречный ветер,51,5.6
1278,"(51, 5.6)",1,2019-08-30,2019-09-01,2019 World Rowing Championships,Без ветра,51,5.6
750,"(51, 5.7)",1,2019-08-25,2019-09-01,2019 World Rowing Championships,Встречный ветер,51,5.7
1102,"(51, 5.7)",1,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,51,5.7
1240,"(51, 5.7)",1,2019-08-30,2019-09-01,2019 World Rowing Championships,Без ветра,51,5.7
1376,"(51, 5.7)",1,2019-09-01,2019-09-01,2019 World Rowing Championships,Без ветра,51,5.7
1164,"(51, 5.8)",1,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,51,5.8
1158,"(52, 5.2)",1,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,52,5.2
726,"(52, 5.3)",1,2019-08-25,2019-09-01,2019 World Rowing Championships,Встречный ветер,52,5.3
262,"(52, 5.4)",1,2019-08-29,2019-09-01,2019 World Rowing Championships,Попутный ветер,52,5.4
1142,"(52, 5.4)",1,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,52,5.4
685,"(52, 5.5)",1,2019-08-25,2019-09-01,2019 World Rowing Championships,Встречный ветер,52,5.5
1151,"(52, 5.5)",1,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,52,5.5
1383,"(52, 5.7)",1,2019-09-01,2019-09-01,2019 World Rowing Championships,Без ветра,52,5.7
720,"(53, 5.5)",1,2019-08-25,2019-09-01,2019 World Rowing Championships,Встречный ветер,53,5.5
925,"(54, 5.6)",1,2019-08-26,2019-09-01,2019 World Rowing Championships,Встречный ветер,54,5.6
1129,"(54, 5.6)",1,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,54,5.6
898,"(55, 5.4)",1,2019-08-26,2019-09-01,2019 World Rowing Championships,Встречный ветер,55,5.4
737,"(79, 4.3)",1,2019-08-25,2019-09-01,2019 World Rowing Championships,Встречный ветер,79,4.3
939,"(98, 5.3)",1,2019-08-26,2019-09-01,2019 World Rowing Championships,Встречный ветер,98,5.3
1138,"(101, 5.4)",1,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,101,5.4
1105,"(102, 5.5)",1,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,102,5.5
1160,"(102, 5.6)",1,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,102,5.6
1118,"(104, 5.6)",1,2019-08-28,2019-09-01,2019 World Rowing Championships,Без ветра,104,5.6
